iter	Passed	Remaining
0	4	2338
1	12	3151
2	20	3338
3	27	3455
4	33	3353
5	42	3529
6	49	3464
7	55	3426
8	62	3406
9	67	3319
10	73	3257
11	77	3160
12	81	3061
13	85	2963
14	89	2906
15	93	2830
16	96	2737
17	98	2642
18	101	2561
19	104	2500
20	106	2438
21	109	2371
22	111	2310
23	113	2254
24	116	2205
25	118	2155
26	120	2118
27	123	2075
28	125	2036
29	127	2000
30	129	1965
31	132	1940
32	135	1911
33	137	1888
34	140	1862
35	142	1836
36	144	1811
37	147	1789
38	149	1768
39	153	1760
40	155	1739
41	157	1720
42	160	1702
43	162	1685
44	165	1670
45	167	1654
46	171	1651
47	174	1642
48	177	1629
49	179	1618
50	182	1608
51	186	1603
52	189	1597
53	192	1586
54	194	1577
55	197	1567
56	201	1564
57	204	1557
58	207	1548
59	210	1541
60	213	1533
61	216	1529
62	220	1527
63	223	1521
64	226	1516
65	229	1510
66	233	1506
67	235	1499
68	238	1491
69	241	1484
70	244	1476
71	246	1467
72	250	1467
73	253	1461
74	256	1454
75	259	1448
76	262	1442
77	266	1439
78	268	1433
79	271	1427
80	274	1422
81	278	1417
82	281	1415
83	285	1412
84	288	1408
85	291	1402
86	294	1399
87	298	1398
88	302	1395
89	305	1391
90	308	1386
91	311	1382
92	315	1380
93	318	1375
94	321	1370
95	324	1367
96	328	1365
97	332	1363
98	335	1359
99	338	1355
100	341	1350
101	344	1346
102	349	1346
103	352	1341
104	355	1337
105	358	1333
106	361	1328
107	365	1326
108	368	1323
109	371	1318
110	375	1314
111	379	1315
112	383	1312
113	386	1307
114	389	1303
115	392	1298
116	396	1299
117	400	1295
118	403	1291
119	406	1286
120	409	1282
121	413	1280
122	416	1276
123	419	1270
124	422	1266
125	425	1263
126	428	1259
127	431	1254
128	434	1250
129	437	1245
130	440	1241
131	444	1239
132	447	1235
133	450	1231
134	454	1228
135	457	1225
136	461	1222
137	464	1217
138	467	1213
139	470	1209
140	473	1205
141	476	1202
142	479	1198
143	483	1194
144	486	1189
145	489	1186
146	493	1184
147	496	1180
148	499	1176
149	502	1171
150	504	1167
151	508	1163
152	511	1159
153	514	1155
154	517	1151
155	520	1147
156	524	1145
157	527	1141
158	530	1137
159	533	1133
160	536	1129
161	540	1127
162	543	1124
163	546	1120
164	549	1116
165	553	1112
166	556	1110
167	559	1106
168	563	1103
169	566	1099
170	569	1095
171	573	1092
172	576	1089
173	579	1084
174	582	1080
175	585	1077
176	588	1074
177	592	1071
178	595	1067
179	598	1064
180	601	1060
181	605	1058
182	609	1055
183	612	1051
184	615	1047
185	619	1046
186	622	1042
187	625	1038
188	628	1034
189	631	1030
190	634	1026
191	638	1023
192	641	1020
193	644	1016
194	647	1012
195	650	1009
196	654	1006
197	657	1003
198	660	999
199	663	995
200	666	992
201	670	989
202	673	985
203	676	982
204	679	978
205	683	974
206	687	972
207	690	969
208	693	965
209	696	961
210	699	957
211	703	955
212	706	951
213	709	948
214	712	945
215	716	941
216	719	938
217	722	935
218	725	931
219	728	927
220	731	923
221	735	920
222	738	916
223	741	913
224	743	909
225	746	905
226	750	903
227	754	899
228	757	896
229	760	892
230	763	889
231	767	886
232	771	883
233	774	880
234	778	877
235	781	874
236	785	871
237	788	868
238	791	864
239	795	861
240	799	859
241	803	856
242	806	852
243	810	849
244	813	847
245	818	844
246	822	842
247	825	838
248	829	836
249	833	833
250	836	829
251	840	826
252	843	823
253	848	821
254	852	818
255	855	815
256	859	812
257	863	810
258	867	807
259	871	804
260	874	801
261	878	798
262	882	795
263	886	792
264	889	789
265	893	786
266	898	783
267	901	780
268	905	777
269	909	774
270	913	771
271	917	768
272	920	765
273	924	762
274	928	759
275	932	757
276	936	754
277	939	750
278	943	747
279	947	744
280	951	741
281	954	738
282	958	735
283	962	732
284	966	729
285	970	725
286	973	722
287	978	720
288	981	716
289	985	713
290	988	710
291	993	707
292	996	704
293	999	700
294	1003	697
295	1006	693
296	1011	691
297	1014	687
298	1018	684
299	1021	681
300	1025	678
301	1028	674
302	1032	671
303	1035	667
304	1038	664
305	1042	660
306	1045	657
307	1048	653
308	1052	650
309	1055	647
310	1059	643
311	1062	640
312	1066	636
313	1069	633
314	1073	630
315	1076	626
316	1079	623
317	1083	619
318	1086	616
319	1090	613
320	1094	610
321	1097	606
322	1100	603
323	1104	600
324	1108	596
325	1111	593
326	1115	590
327	1118	586
328	1122	583
329	1126	580
330	1129	576
331	1132	573
332	1135	569
333	1139	566
334	1143	563
335	1146	559
336	1150	556
337	1153	553
338	1157	549
339	1160	546
340	1163	542
341	1167	539
342	1172	536
343	1175	533
344	1179	529
345	1182	526
346	1186	523
347	1190	519
